author,date,post
OnnMacMahal,"Aug 30 2022, ","
					,
Hi everyone, I’m OnnMacMahal, and I want to talk to you about the upcoming changes to the Minstrel class. We’ve converted the minstrel’s ‘Protector of Song’ specialization tree into a passive tree, functioning the same way as the brawler’s yellow tree does. I’m here to answer a few questions up front, and give you a bit of insight into our thinking regarding these changes.,
,
,
,
With U33.2, minstrels will no longer be able to choose the ‘Protector of Song’ trait tree as their specialization. You’ll still be able to specialize in the other two trait trees, and the yellow tree isn’t going anywhere! While you won’t be able to choose yellow as your specialization, it is still full of exciting stuff. For most players, this means you’ll be able to access unique skills like Song of Aid and Call to Greatness while specializing in either ‘The Watcher of Resolve’ or ‘The Warrior-Skald’ trait lines.,
,
,
,
,
The yellow minstrel line has a strong identity, but while there are good reasons to specialize in the ‘Protector of Song’ those reasons aren’t usually better than the reasons for specializing in blue or red. Yet it still has some very clear utility, and we regularly see minstrels swapping to a full yellow line spec to fire off all the buffs they can before swapping back to blue (or red) as a fight starts. And while it doesn’t have quite enough power or utility to justify using as a main spec, we see a lot of you considering the yellow line and keeping a yellow setup around. We just don’t see many folks , in yellow line for very long. Obviously there are exceptions, but at the moment, minstrels staying in yellow spec for group content tend to be for niche circumstances.,
Our goal is not to remove yellow line or yellow line’s identity, but to fold yellow line back into being a core part of the minstrel, accessible regardless of whether you’re in red line doing landscape quests, blue line main-healing a raid, or any other activity.,
,
,
,
,
A , of things are changing. For the full list of changes, please see the release notes or hop into Bullroarer and check things out for yourself! However, I’ll cover a few broad categories of changes below:,
,
,
,
,
Anthems are an iconic part of the minstrel’s toolkit, but they aren’t always a very exciting part of the class. We want anthems to be more interesting to use, but we don’t want them to simply be a chore to maintain. To that end, anthems all now share a cooldown, have shortened durations, and can only be used in combat. We’ve also added a couple anthems and made sure they’re distributed around the trait trees. This means it won’t be possible for a single minstrel to maintain 100% uptime on all their anthems for the group. You’ll have to be a bit choosier with your anthems, but you also won’t be waiting for your anthem buffs to expire, only to pause what you’re doing and click through all of your anthems one by one to refresh the buffs.,
Anthem buffs should also now have greater parity with one another. You should always want to have more anthem buffs, without feeling like any particular anthem is an absolute must-have above everything else.,
,
Anthems also used to apply bonus effects to your next Coda, but these effects could be a bit confusing, and it could be hard to tell which ones were ‘queued up’ for your next Coda. These effects will now trigger directly off of their relevant Anthems, provided you have a point in the new ‘Invigorating Anthems’ trait.,
,
,
,
These two are a pair of awesome skills, but their effects varied widely in usefulness and could be difficult or impossible to utilize meaningfully. They’ve been changed so that they now have more unified effects for all of your allies:,
Song of Aid is now a strong defensive cooldown, granting a brief Heal over Time and a Damage reduction & reflect, so help you get back on your feet when things start to go sideways.,
Call to Greatness now resets a key or capstone cooldown for every trait tree for every class. This means that regardless of your chosen class or role, you should have a skill which will have its cooldown reset by Call to Greatness. This will allow Call to Greatness to be used both offensively and defensively, and make its effects relevant for everyone.,
That said, not all classes are equal, and some have more impactful long-cooldown skills than others. So while some classes or specializations will still benefit from the new Call to Greatness effect more than others, there should be better parity overall, and we’re certainly willing to look at outliers going forward.,
,
,
,
While Dissonance and Resonance have clear benefits, Melody has never had a very strong identity. While making changes to the yellow line, we wanted to strengthen the identity of the Melody stance a bit. While it can do , healing and , damage, it doesn’t excel at either, so we made some changes to make Melody better at applying debuffs, buffs, and unique effects.,
Debuffs applied by Echoes of Battle and Call of Orome are now stronger while in Melody. Similarly, Piercing Cry only removes corruptions and stuns on critical hits when used in Melody. Additionally, Call to Fate can be used in Melody, though it will do less damage than it will in Dissonance.,
,
Minstrels have three core skills which change depending on stance: your strike, your piercing cry, and your coda. Strike skills have been rebalanced slightly against one another, so their healing and damage values change more depending on your stance. Likewise, Piercing Cry now has more utility in Melody, does more damage in Dissonance, and is weaker offensively in Resonance. Codas (when traited) also now have bonus effects related to their respective stances.,
,
,
,
We know this is a lot of changes all at once, but we hope it improves overall gameplay for Minstrels, lets you access some of the unique abilities formerly hidden behind the yellow specialization, and helps you all feel like protectors of song.,
,
Keep in mind that this is Bullroarer, so some of these changes may not be final, but we want to know what you think, and we look forward to seeing your reactions and feedback below.
				"
Joedangod,"Aug 30 2022, ","
					You're deleting the classic support bard archetype and removing the closest thing the game had to an rCaptain competitor (outside of maybe bLM with the new crowthies). Yellow was definitely problematic as is but really feel like you should've gone the route of making it a competitive (non-stacking) replacement for red Captains in group content rather than leaving us with the same red Captain support dominance that's existed for over a decade.
				"
NuclearTonic,"Aug 30 2022, ","
					I think this is a great thought! This really helped define Brawlers... it was also part of my initial problem with the Class Tree's move, back when... it removed options! This seems to go a long way at adding those options back into the main objectives of the class. ,
,
I would love to see changes like this for other classes as well.
				"
Detective0,"Aug 30 2022, ","
					I'm worrying that this will decrease the variety of healing choices and make people opt only for mini in raids and ignore other healing classes like rk the get the most out of anthems
				"
Maedol,"Aug 30 2022, ","
					Why can't anthems be made available outside of combat? Since they have a common cd. At least 1 of them to squeeze before the start of the battle is already good
				"
Eloriena,"Aug 30 2022, ","
					First off all: if you really want to capture the feedback of the community for such massive class changes it would be great to translate the BR patchnotes for minstrels to German and French to give those players in the community who might not be so fluent in English the chance to participate in the discussion or at least give their Feedback.
				"
Laerthan1997,"Aug 30 2022, ","
					''We want anthems to be more interesting to use, but we don’t want them to simply be a chore to maintain.'',
,
Explain to me how dividing the anthem duration by 6 will make them be more than simply a chore to maintain ? Explain it to me like I would be in kindergarden.
				"
Thanatos88,"Aug 30 2022, ","
					,
,
,Guessing it's because the Anthems tier up and they don't want you to be max tier at the start of the fight.
				"
Valather89,"Aug 30 2022, ","
					While I can understand why some people wouldn't like this, it would be a feeling more based on ""nostalgia"" and ideals than based on how the class has functioned for many years and the actual viability of the spec, so I think it's a valid decision. Over the years, I feel the least played specs of some other classes (or those easier to turn into supporting trees) might undergo a similar revamp, although others will probably remain unchanged, or saved for last.
				"
andrane,"Aug 30 2022, ","
					Nope.
				"
