index,author,date,post,sentiment
0,OnnMacMahal,Aug 30 2022,Hi,neutral
0,OnnMacMahal,Aug 30 2022,everyone,neutral
0,OnnMacMahal,Aug 30 2022,Im,neutral
0,OnnMacMahal,Aug 30 2022,OnnMacMahal,neutral
0,OnnMacMahal,Aug 30 2022,want,neutral
0,OnnMacMahal,Aug 30 2022,talk,neutral
0,OnnMacMahal,Aug 30 2022,upcoming,neutral
0,OnnMacMahal,Aug 30 2022,changes,neutral
0,OnnMacMahal,Aug 30 2022,Minstrel,neutral
0,OnnMacMahal,Aug 30 2022,class,neutral
0,OnnMacMahal,Aug 30 2022,Weve,neutral
0,OnnMacMahal,Aug 30 2022,converted,neutral
0,OnnMacMahal,Aug 30 2022,minstrels,neutral
0,OnnMacMahal,Aug 30 2022,Protector,neutral
0,OnnMacMahal,Aug 30 2022,Song,neutral
0,OnnMacMahal,Aug 30 2022,specialization,neutral
0,OnnMacMahal,Aug 30 2022,tree,neutral
0,OnnMacMahal,Aug 30 2022,passive,neutral
0,OnnMacMahal,Aug 30 2022,tree,neutral
0,OnnMacMahal,Aug 30 2022,functioning,neutral
0,OnnMacMahal,Aug 30 2022,way,neutral
0,OnnMacMahal,Aug 30 2022,brawlers,neutral
0,OnnMacMahal,Aug 30 2022,yellow,neutral
0,OnnMacMahal,Aug 30 2022,tree,neutral
0,OnnMacMahal,Aug 30 2022,Im,neutral
0,OnnMacMahal,Aug 30 2022,answer,neutral
0,OnnMacMahal,Aug 30 2022,questions,neutral
0,OnnMacMahal,Aug 30 2022,front,neutral
0,OnnMacMahal,Aug 30 2022,give,neutral
0,OnnMacMahal,Aug 30 2022,bit,neutral
0,OnnMacMahal,Aug 30 2022,insight,neutral
0,OnnMacMahal,Aug 30 2022,thinking,neutral
0,OnnMacMahal,Aug 30 2022,regarding,neutral
0,OnnMacMahal,Aug 30 2022,changes.With,neutral
0,OnnMacMahal,Aug 30 2022,U33.2,neutral
0,OnnMacMahal,Aug 30 2022,minstrels,neutral
0,OnnMacMahal,Aug 30 2022,longer,neutral
0,OnnMacMahal,Aug 30 2022,able,neutral
0,OnnMacMahal,Aug 30 2022,choose,neutral
0,OnnMacMahal,Aug 30 2022,Protector,neutral
0,OnnMacMahal,Aug 30 2022,Song,neutral
0,OnnMacMahal,Aug 30 2022,trait,neutral
0,OnnMacMahal,Aug 30 2022,tree,neutral
0,OnnMacMahal,Aug 30 2022,specialization,neutral
0,OnnMacMahal,Aug 30 2022,Youll,neutral
0,OnnMacMahal,Aug 30 2022,still,neutral
0,OnnMacMahal,Aug 30 2022,able,neutral
0,OnnMacMahal,Aug 30 2022,specialize,neutral
0,OnnMacMahal,Aug 30 2022,two,neutral
0,OnnMacMahal,Aug 30 2022,trait,neutral
0,OnnMacMahal,Aug 30 2022,trees,neutral
0,OnnMacMahal,Aug 30 2022,yellow,neutral
0,OnnMacMahal,Aug 30 2022,tree,neutral
0,OnnMacMahal,Aug 30 2022,isnt,neutral
0,OnnMacMahal,Aug 30 2022,going,neutral
0,OnnMacMahal,Aug 30 2022,anywhere,neutral
0,OnnMacMahal,Aug 30 2022,wont,neutral
0,OnnMacMahal,Aug 30 2022,able,neutral
0,OnnMacMahal,Aug 30 2022,choose,neutral
0,OnnMacMahal,Aug 30 2022,yellow,neutral
0,OnnMacMahal,Aug 30 2022,specialization,neutral
0,OnnMacMahal,Aug 30 2022,still,neutral
0,OnnMacMahal,Aug 30 2022,full,neutral
0,OnnMacMahal,Aug 30 2022,exciting,neutral
0,OnnMacMahal,Aug 30 2022,stuff,neutral
0,OnnMacMahal,Aug 30 2022,players,neutral
0,OnnMacMahal,Aug 30 2022,means,neutral
0,OnnMacMahal,Aug 30 2022,youll,neutral
0,OnnMacMahal,Aug 30 2022,able,neutral
0,OnnMacMahal,Aug 30 2022,access,neutral
